Origin Page,Destination Page,Link Text,Sentence Text,Wikidata Property Label,Direction
Tragedy of the commons,Garrett Hardin,Garrett Hardin,The concept became widely known as the tragedy of the commons over a century later after an article written by Garrett Hardin in 1968,P800,Backwards
Insect,Insect biodiversity,insect biodiversity,Human activities also have effects on insect biodiversity,P1552,Forwards
World Health Assembly,World Health Organization,World Health Organization,The World Health Assembly WHA is the forum through which the World Health Organization WHO is governed by its 194 member states,P749,Forwards
Hunger in the United States,Hunger,hunger,The United States produces far more food than it needs for domestic consumption—hunger within the US,P1269,Forwards
Caloocan,Quezon City,Quezon City,South Caloocan is bordered by Manila Quezon City Malabon Navotas and Valenzuela,P47,Backwards
UK Youth Parliament,United Kingdom,United Kingdom,The UK Youth Parliament UKYP is a youth organisation in the United Kingdom consisting of democratically elected members aged between 11 and 18,P17,Forwards
Ministry of Environment Spain,Government of Spain,Government of Spain,The Ministry for the Ecological Transition and the Demographic Challenge MITECO is the department of the Government of Spain responsible for developing the government policy on fight against climate change prevention of pollution protecting the natural heritage biodiversity forests sea water and energy for a more ecological and productive social model,P106,Forwards
Muntinlupa,Philippines,Philippines,Muntinlupa officially the City of Muntinlupa Tagalog Lungsod ng Muntinlupa is a 1st class highly urbanized city in the National Capital Region of the Philippines,P17,Forwards
Organism,Prokaryote,prokaryote,An organism may be either a prokaryote or a eukaryote,P279,Backwards
Estonia,European Union,EU,LegislatureRiigikoguIndependence160from Russia and Soviet Union•160Autonomy 12 April 1917•160Declared 24 February 1918•160Recognised 2 February 1920•160Soviet occupation 1940–1991•160Restored 20 August 1991•160Joined the EU 1 May 2004,P150,Backwards
Indonesia,Jakarta,Jakarta,The countrys capital Jakarta is the worlds secondmost populous urban area,P1376,Backwards
Lisbon Principles,Robert Costanza,Robert Costanza,In 1997 a core set of six principles was established by ecological economist Robert Costanza for the sustainability governance of the oceans,P50,Forwards
Richard Stallman,Massachusetts Institute of Technology,MIT,In September 2019 Stallman resigned as president of the FSF and left his visiting scientist role at MIT after making controversial comments about the Jeffrey Epstein sex trafficking scandal,P108,Forwards
Aalborg University,Denmark,Danish,Aalborg University AAU is a Danish public university with campuses in Aalborg Esbjerg and Copenhagen founded in 1974,P17,Forwards
The World WWE,WWE,WWE,The World originally opened as WWF New York was a World Wrestling Entertainment WWE themed restaurant nightclub and retail store in Times Square in New York City leased in the Paramount Theatre building,P127,Forwards
Silent Spring,Rachel Carson,Rachel Carson,Silent Spring is an environmental science book by Rachel Carson,P50,Forwards
Life,Organism,organisms,One popular definition is that organisms are open systems that maintain homeostasis are composed of cells have a life cycle undergo metabolism can grow adapt to their environment respond to stimuli reproduce and evolve,P527,Forwards
Cameroon,Organisation of Islamic Cooperation,Organisation of Islamic Cooperation,It is a member state of the African Union the United Nations the Commonwealth of Nations NonAligned Movement and the Organisation of Islamic Cooperation,P463,Forwards
Rolex,Geneva,Geneva,Rolex SA ˈroʊlɛks is a luxury watch manufacturer based in Geneva Switzerland,P159,Forwards
Navotas,Philippines,Philippines,Navotas officially the City of Navotas Tagalog Lungsod ng Navotas is a 1st class highly urbanized city in the National Capital Region of the Philippines,P17,Forwards
Wind power,Renewable energy,renewable energy,Wind power is a popular sustainable renewable energy source that has a much smaller impact on the environment compared to burning fossil fuels,P279,Forwards
Delhi,India,India,Delhi English ˈdɛli Hindi160ˈdɪlːiː Dillī Punjabi160ˈdɪlːiː Dillī Urdu160ˈdɛɦliː Dêhlī officially the National Capital Territory NCT of Delhi is a city and a union territory of India containing New Delhi the capital of India,P17,Forwards
Benxi,Liaoning,Liaoning,Benxi Chinese58 本溪 pinyin58 Běnxī is a prefecturelevel city located in the east of Liaoning province Peoples Republic of China southsoutheast of the provincial capital Shenyang,P131,Forwards
The Natural Step,Sweden,Sweden,The Natural Step is a nonprofit nongovernmental organisation founded in Sweden in 1989 by scientist KarlHenrik Robèrt,P17,Forwards
Cameroon,African Union,African Union,It is a member state of the African Union the United Nations the Commonwealth of Nations NonAligned Movement and the Organisation of Islamic Cooperation,P463,Forwards
Ronald Wright,A Short History of Progress,A Short History of Progress,His contribution A Short History of Progress looks at the modern human predicament in light of the 10000year experiment with civilization,P50,Backwards
ARKive,Bristol,Bristol,The project was an initiative of Wildscreen a UKregistered educational charity based in Bristol,P159,Forwards
Madagascar,Indian Ocean,Indian Ocean,Madagascar ˌmædəˈɡæskər kɑːr Malagasy Madagasikara officially the Republic of Madagascar Malagasy Repoblikani Madagasikara Malagasy pronunciation160republiˈkʲan madaɡasˈkʲarə̥ French République de Madagascar and previously known as the Malagasy Republic is an island country in the Indian Ocean approximately 400 kilometres 250 miles off the coast of East Africa across the Mozambique Channel,P1589,Forwards
Indonesia,Indian Ocean,Indian,Indonesia ˌɪndəˈniːʒə32listen INdəNEEzhə officially the Republic of Indonesia Indonesian Republik Indonesia reˈpublik ɪndoˈnesia32listen91a93 is a country in Southeast Asia and Oceania between the Indian and Pacific oceans,P1589,Forwards
Germany,Netherlands,Netherlands,It borders Denmark to the north Poland and the Czech Republic to the east Austria and Switzerland to the south and France Luxembourg Belgium and the Netherlands to the west,P47,Forwards
Wintergreen Studios,Canada,Canada,Wintergreen Studios is an environmental education and wilderness retreat centre located in South Frontenac Ontario Canada,P17,Forwards
Stockholm School of Economics,Sweden,Sweden,The Stockholm School of Economics SSE Swedish Handelshögskolan i Stockholm HHS is a private business school located in city district Vasastaden in the central part of Stockholm Sweden,P17,Forwards
Borneo,Asia,Asia,Borneo ˈbɔːrnioʊ Indonesian Kalimantan is the thirdlargest island in the world and the largest in Asia,P30,Forwards
Myanmar,Asia,Asia,Myanmar is the largest country in Mainland Southeast Asia and the 10th largest in Asia by area,P30,Forwards
Sustainable Development Goal 13,Sustainable Development Goals,Sustainable Development Goals,Sustainable Development Goal 13 SDG 13 or Goal 13 is about climate action and is one of the 17 Sustainable Development Goals established by the United Nations in 2015,P361,Forwards
Sustainable Development Goal 8,Economic growth,economic growth,These are sustainable economic growth diversify innovate and upgrade for economic productivity promote policies to support job creation and growing enterprises improve resource efficiency in consumption and production full employment and decent work with equal pay promote youth employment education and training end modern slavery trafficking and child labour protect labour rights and promote safe working environments promote beneficial and sustainable tourism universal access to banking insurance and financial services,P921,Forwards
David Attenborough filmography,David Attenborough,David Attenborough,The following is a chronological list of television series and individual programmes where Sir David Attenborough is credited as writer presenter narrator or producer,P921,Forwards
India,Bangladesh,Bangladesh, Bounded by the Indian Ocean on the south the Arabian Sea on the southwest and the Bay of Bengal on the southeast it shares land borders with Pakistan to the west91f93 China Nepal and Bhutan to the north and Bangladesh and Myanmar to the east,P530,Backwards
Sustainable Development Goal 15,Sustainable Development Goals,Sustainable Development Goals,Sustainable Development Goal 15 SDG 15 or Global Goal 15 is about Life on land One of the 17 Sustainable Development Goals established by the United Nations in 2015 the official wording is Protect restore and promote sustainable use of terrestrial ecosystems sustainably manage forests combat desertification and halt and reverse land degradation and halt biodiversity loss,P527,Backwards
Canada,United Kingdom,United Kingdom,LegislatureParliament•160Upper houseSenate•160Lower houseHouse of CommonsIndependence160from the United Kingdom•160Confederation July 1 1867•160Statute of Westminster December 11 1931•160Patriation April 17 1982,P530,Backwards
